zip_code,latitude,longitude
13270,19.2888892,-99.05995763694466
09810,19.3535735,-99.11435570262458
13319,19.31044555,-99.04250619508484
09500,19.3510719,-99.02526022905982
57720,19.4216539,-98.9852791
09609,19.3467872,-99.01101629935349
13250,19.2947017,-99.0590446018748
55067,19.5454466,-99.0649034
11320,19.44440135,-99.17395485165626
09660,19.3409435,-99.02213107593502
09780,19.31940725,-99.06611884826532
57730,19.3936661,-99.0285077
56400,19.359546,-98.9931229
12100,19.2140975,-98.99082945555556
09760,19.32509795,-99.05694855443464
09790,19.31349715,-99.06564042201384
09970,19.2987688,-99.07855495329824
16750,19.25248335,-99.01069043080452
56512,19.3645383,-98.9282883
07890,19.4562873,-99.10580157598385
54666,19.7633867,-99.2087628
09740,19.33302035,-99.06120984473584
57700,19.43922815,-99.03549165
55360,19.5984801,-99.0190695
56618,19.323903125,-98.95318344166668
15810,19.42031725,-99.12395833759894
09770,19.3278472,-99.06491227630698
12400,19.18560898333333,-99.07206831666666
54764,19.5925946,-99.1916659
56440,19.36722055,-98.94971757780029
09060,19.3633902,-99.11447588193798
54667,19.5399532,-99.0363977
15670,19.4184409,-99.072595651538
09698,19.34311045,-99.00280626978945
08500,19.390416113636363,-99.07574969090908
09600,19.35329875,-99.00362800298775
56257,19.4582981,-98.8808644
56315,19.5744799,-98.9369626
13000,19.27289235,-99.00525641514496
15610,19.4220152,-99.06247432864684
16770,19.25343925,-99.01972019983036
14275,19.26547275,-99.20824273226911
04910,19.3192867,-99.10841696103871
16710,19.2592029,-99.02416240373115
56507,19.3518934,-98.9400348
09438,19.3757076,-99.11642538250288
13546,19.242804,-99.00963555584286
06800,19.4148491,-99.13932754667864
05600,19.340557,-99.2838731257732
15410,19.4489411,-99.09666232083244
13280,19.2899699,-99.05279585039386
09910,19.3136013,-99.0757778261547
09730,19.3392838,-99.03110522711096
56304,19.5476319,-98.9025286
08300,19.4016665,-99.12132757218842
13300,19.3026352,-99.03835477356516
13420,19.29230953333333,-99.00244273333334
13278,19.28250555,-99.05425870325271
04260,19.34088045,-99.11817147449418
57750,19.3877465,-99.0242829
56338,19.3904831,-98.9267202
57810,19.390685,-98.9750879
04650,19.31989435,-99.14870366451356
56500,19.3690879,-98.9614986
11870,19.4020201,-99.18853857352649
53570,19.45530377058824,-99.2435241
07790,19.4698559,-99.13999965116764
14160,19.30060165,-99.224252377666
09260,19.348562,-99.06326280323124
05200,19.369008,-99.28654826193356
05050,19.3534815,-99.32073405919172
56600,19.253484057142856,-98.89350985714286
56490,19.3424395,-98.9776443
14300,19.2999972,-99.12576815143302
16610,19.26054685,-99.03473627612595
13200,19.29215265,-99.04542888708708
13530,19.24229175,-98.99423086136925
16600,19.2562988,-99.0738916
02980,19.465726,-99.1520878552956
01260,19.38252275,-99.23140450169618
56644,19.276841266666665,-98.83189393333332
09140,19.3736147,-99.01009825544004
12200,19.2026241125,-99.0501039625
56610,19.3056823,-98.9401208
14400,19.2487799,-99.1744875294756
16035,19.28509135,-99.1202138212348
04300,19.3194196,-99.16023550338474
56510,19.36754945,-98.98428385
13080,19.26378845,-99.00555663387377
11860,19.40590765,-99.1928276314652
56617,19.2821016,-98.941864
01730,19.34625685,-99.23319716163157
06090,19.42774115,-99.1291399
07110,19.5685813,-99.13544160673436
09400,19.37284855,-99.11525460618572
15010,19.41662085,-99.09373653408652
03800,19.3915495,-99.18509581125817
09090,19.3619328,-99.11845090500908
07020,19.485709550000003,-99.12173314106772
14710,19.2090681,-99.2046092618058
55787,19.6789882,-99.0692307
56740,19.2105685,-98.7561432
53219,19.5016286,-99.2857647
15400,19.44150535,-99.09727712425465
54180,19.517845,-99.1091025
54040,19.54822903333333,-99.21970083333332
15000,19.4146886,-99.09633188560888
